検査日,2019/02/12
開始時刻,16:03:58,終了時刻,16:57:25
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],702.8
検査開始位置[mm],316.7,検査終了位置[mm],1019.5
列数,2
周長[mm],398.5,2逓倍,0
検査距離[m],4260.7
照明設定,No.1,ON ,55,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,19,サイズ[mmsq.],1.50
,面比較,色差,26,サイズ[mmsq.],1.50
,スジ検出,色差,45,サイズ[mmsq.],4.00
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,内部
欠点検出数,356
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
156,5,351.6,335.0, 8.5,重欠点,-,,
157,5,351.6,335.4,14.7,重欠点,-,,
158,5,351.6,335.7,14.7,重欠点,-,,
159,5,884.5,336.1, 1.5,軽欠点,-,,
160,5,884.5,336.5, 3.5,重欠点,-,,
161,5,426.2,336.9, 6.5,重欠点,-,,
162,5,884.5,337.3, 2.7,重欠点,-,,
163,5,884.5,337.7,12.6,重欠点,-,,
164,5,884.5,338.0,12.6,重欠点,-,,
165,5,362.3,338.4, 3.7,重欠点,-,,
166,5,362.3,338.8,12.3,重欠点,-,,
167,5,362.3,339.2,14.1,重欠点,-,,
168,5,639.5,339.6, 2.9,重欠点,-,,
169,5,639.5,340.0,11.9,重欠点,-,,
170,5,639.5,340.3,13.9,重欠点,-,,
171,5,884.5,340.7, 1.2,軽欠点,-,,
172,5,863.1,341.1,10.1,重欠点,-,,
173,5,468.9,341.5, 4.0,重欠点,-,,
174,5,863.1,341.9, 9.5,重欠点,-,,
175,5,863.1,342.2, 9.2,重欠点,-,,
176,5,863.1,342.6, 9.2,重欠点,-,,
177,5,639.5,343.0, 7.6,重欠点,-,,
178,5,639.5,343.4,12.5,重欠点,-,,
179,5,351.6,343.8,13.3,重欠点,-,,
180,5,703.2,344.2, 6.3,重欠点,-,,
181,5,351.6,344.5,14.7,重欠点,-,,
182,5,351.6,344.9,14.8,重欠点,-,,
183,5,351.6,345.3, 7.8,重欠点,-,,
184,5,884.5,345.7, 3.9,重欠点,-,,
185,5,426.2,346.1, 6.4,重欠点,-,,
186,5,884.5,346.5, 3.1,重欠点,-,,
187,5,884.5,346.8,12.7,重欠点,-,,
188,5,884.5,347.2,12.6,重欠点,-,,
189,5,362.3,347.6, 2.4,重欠点,-,,
190,5,362.3,348.0,12.1,重欠点,-,,
191,5,362.3,348.4,14.2,重欠点,-,,
192,5,639.5,348.8, 4.1,重欠点,-,,
193,5,639.5,349.1,11.6,重欠点,-,,
194,5,639.5,349.5,14.1,重欠点,-,,
195,5,639.5,349.9,14.1,重欠点,-,,
196,5,863.1,350.3, 9.8,重欠点,-,,
197,5,458.2,350.7, 4.6,重欠点,-,,
198,5,863.1,351.0, 9.7,重欠点,-,,
199,5,639.5,351.8, 3.2,重欠点,-,,
200,5,650.2,352.2, 5.8,重欠点,-,,
201,5,682.2,353.0, 6.8,重欠点,-,,
202,5,383.6,353.3, 5.3,重欠点,-,,
203,5,362.3,353.7, 5.3,重欠点,-,,
204,5,884.5,354.9, 2.6,重欠点,-,,
205,5,884.5,355.3, 4.1,重欠点,-,,
206,5,362.3,356.8, 2.7,重欠点,-,,
207,5,404.9,357.6,10.2,重欠点,-,,
208,5,703.2,358.0, 3.8,重欠点,-,,
209,5,639.5,358.7, 5.5,重欠点,-,,
210,5,682.2,359.5, 7.1,重欠点,-,,
211,5,863.1,360.3, 5.2,重欠点,-,,
212,5,468.9,361.1, 3.5,重欠点,-,,
213,5,863.1,361.4, 7.2,重欠点,-,,
214,5,436.9,361.8, 6.7,重欠点,-,,
215,5,458.2,362.2, 6.9,重欠点,-,,
216,5,436.9,363.0, 6.2,重欠点,-,,
217,5,639.5,363.4, 9.2,重欠点,-,,
218,5,639.5,363.8,12.1,重欠点,-,,
219,5,362.3,364.9, 8.7,重欠点,-,,
220,5,362.3,365.3,13.4,重欠点,-,,
221,5,362.3,365.7,14.8,重欠点,-,,
222,5,362.3,366.1,14.9,重欠点,-,,
223,5,532.9,366.5, 7.5,重欠点,-,,
224,5,426.2,367.3, 6.5,重欠点,-,,
225,5,436.9,367.6, 6.4,重欠点,-,,
226,5,500.9,368.0, 6.5,重欠点,-,,
227,5,884.5,368.4, 5.5,重欠点,-,,
228,5,884.5,368.8, 2.9,重欠点,-,,
229,5,383.6,369.6, 9.2,重欠点,-,,
230,5,394.2,370.4, 8.1,重欠点,-,,
231,5,703.2,371.1, 2.3,重欠点,-,,
232,5,639.5,371.9, 3.8,重欠点,-,,
233,5,639.5,372.3, 7.1,重欠点,-,,
234,5,639.5,372.7,11.2,重欠点,-,,
235,5,639.5,373.1,14.1,重欠点,-,,
236,5,682.2,373.5, 8.2,重欠点,-,,
237,5,650.2,373.9, 2.1,重欠点,-,,
238,5,863.1,374.7, 7.2,重欠点,-,,
239,5,852.5,375.0, 7.6,重欠点,-,,
240,5,458.2,375.4, 4.0,重欠点,-,,
241,5,543.5,375.8, 3.8,重欠点,-,,
242,5,863.1,376.2,10.4,重欠点,-,,
243,5,436.9,376.6, 4.6,重欠点,-,,
244,5,660.8,377.0, 5.0,重欠点,-,,
245,5,650.2,377.4, 8.0,重欠点,-,,
246,5,863.1,377.8,10.8,重欠点,-,,
247,5,650.2,378.2, 2.8,重欠点,-,,
248,5,650.2,378.6, 6.7,重欠点,-,,
249,5,639.5,378.9,10.4,重欠点,-,,
250,5,703.2,379.3, 3.8,重欠点,-,,
251,5,703.2,379.7, 3.8,重欠点,-,,
252,5,351.6,380.1, 7.8,重欠点,-,,
253,5,703.2,380.5, 5.1,重欠点,-,,
254,5,362.3,380.9, 8.7,重欠点,-,,
255,5,362.3,381.3,12.5,重欠点,-,,
256,5,362.3,381.7,14.8,重欠点,-,,
257,5,362.3,382.1,14.8,重欠点,-,,
258,5,532.9,382.5, 2.2,重欠点,-,,
259,5,532.9,382.9, 7.2,重欠点,-,,
260,5,884.5,383.2, 6.3,重欠点,-,,
261,5,884.5,383.6, 3.5,重欠点,-,,
262,5,884.5,384.0, 3.5,重欠点,-,,
263,5,479.6,384.4, 5.8,重欠点,-,,
264,5,426.2,384.8, 5.9,重欠点,-,,
265,5,884.5,385.2, 4.1,重欠点,-,,
266,5,884.5,385.6, 5.1,重欠点,-,,
267,5,383.6,386.0, 9.4,重欠点,-,,
268,5,383.6,386.4, 9.3,重欠点,-,,
269,5,383.6,386.8, 9.4,重欠点,-,,
270,5,895.1,387.2, 9.0,重欠点,-,,
271,5,362.3,387.5, 5.3,重欠点,-,,
272,5,362.3,387.9, 9.7,重欠点,-,,
273,5,362.3,388.3,12.8,重欠点,-,,
274,5,703.2,388.7, 4.2,重欠点,-,,
275,5,703.2,389.1, 1.9,中欠点,-,,
276,5,639.5,389.5, 4.1,重欠点,-,,
277,5,639.5,389.9, 6.2,重欠点,-,,
278,5,682.2,390.3, 7.9,重欠点,-,,
279,5,639.5,390.7,11.5,重欠点,-,,
280,5,639.5,391.1,12.3,重欠点,-,,
281,5,682.2,391.5,12.2,重欠点,-,,
282,5,660.8,391.8, 2.8,重欠点,-,,
283,5,863.1,392.2, 5.8,重欠点,-,,
284,5,863.1,392.6, 9.3,重欠点,-,,
285,5,841.8,393.0,11.8,重欠点,-,,
286,5,863.1,393.4,12.2,重欠点,-,,
287,5,447.6,393.8, 2.8,重欠点,-,,
288,5,863.1,394.2, 6.5,重欠点,-,,
289,5,863.1,394.6, 9.4,重欠点,-,,
290,5,863.1,395.0,11.6,重欠点,-,,
291,5,500.9,395.4, 4.8,重欠点,-,,
292,5,500.9,395.7, 4.4,重欠点,-,,
293,5,682.2,396.1, 5.0,重欠点,-,,
294,5,639.5,396.5, 7.6,重欠点,-,,
295,5,639.5,396.9,10.6,重欠点,-,,
296,5,639.5,397.3,12.1,重欠点,-,,
297,5,639.5,397.7,12.0,重欠点,-,,
298,5,351.6,398.1, 5.0,重欠点,-,,
299,5,383.6,398.5, 5.0,重欠点,-,,
300,5,362.3,398.9, 5.0,重欠点,-,,
301,5,362.3,399.3, 5.0,重欠点,-,,
302,5,703.2,399.7, 2.0,中欠点,-,,
303,5,394.2,400.0, 5.8,重欠点,-,,
304,5,532.9,400.4, 4.1,重欠点,-,,
305,5,532.9,400.8, 7.2,重欠点,-,,
306,5,884.5,401.2, 2.1,重欠点,-,,
307,5,383.6,401.6, 8.3,重欠点,-,,
308,5,916.4,402.0, 4.1,重欠点,-,,
309,5,426.2,402.4, 6.1,重欠点,-,,
310,5,426.2,402.8, 8.7,重欠点,-,,
311,5,895.1,403.2, 9.0,重欠点,-,,
312,5,895.1,403.6,13.0,重欠点,-,,
313,5,895.1,404.0, 7.2,重欠点,-,,
314,5,895.1,404.3,15.9,重欠点,-,,
315,5,362.3,404.7, 3.8,重欠点,-,,
316,5,362.3,405.1, 2.8,重欠点,-,,
317,5,362.3,405.5, 5.0,重欠点,-,,
318,5,703.2,405.9, 2.3,重欠点,-,,
319,5,404.9,406.3,11.4,重欠点,-,,
320,5,703.2,406.7, 2.8,重欠点,-,,
321,5,404.9,407.1,12.8,重欠点,-,,
322,5,639.5,407.5, 4.0,重欠点,-,,
323,5,639.5,407.9, 5.8,重欠点,-,,
324,5,639.5,408.2,10.2,重欠点,-,,
325,5,639.5,408.6,13.0,重欠点,-,,
326,5,682.2,409.0, 4.0,重欠点,-,,
327,5,650.2,409.4, 4.7,重欠点,-,,
328,5,650.2,409.8, 4.3,重欠点,-,,
329,5,863.1,410.2, 4.9,重欠点,-,,
330,5,863.1,410.6, 8.7,重欠点,-,,
331,5,841.8,411.0, 7.4,重欠点,-,,
332,5,458.2,411.4, 2.9,重欠点,-,,
333,5,468.9,411.8, 5.7,重欠点,-,,
334,5,863.1,412.2,10.0,重欠点,-,,
335,5,660.8,412.5, 5.5,重欠点,-,,
336,5,660.8,412.9, 7.2,重欠点,-,,
337,5,660.8,413.3, 7.9,重欠点,-,,
338,1,969.8,1017.8, 1.2,軽欠点,-,,
339,1,937.8,2068.3, 2.3,重欠点,-,,
340,1,458.2,4231.4, 1.8,中欠点,-,,
341,3,682.2,4231.6, 1.3,軽欠点,-,,
342,5,351.6,4231.9, 1.1,軽欠点,-,,
343,5,351.6,4232.3, 2.9,重欠点,-,,
344,1,351.6,4233.4, 1.1,軽欠点,-,,
345,5,351.6,4233.5, 1.6,中欠点,-,,
346,5,351.6,4233.9, 2.4,重欠点,-,,
347,5,703.2,4234.3, 3.3,重欠点,-,,
348,5,703.2,4234.7, 4.5,重欠点,-,,
349,5,362.3,4235.1, 1.5,軽欠点,-,,
