検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
122,5,788.5,1428.2, 7.0,スジ欠点,-,,
123,5,391.6,1428.6,12.8,スジ欠点,-,,
124,5,391.6,1429.0,18.9,スジ欠点,-,,
125,5,370.2,1429.5,22.4,スジ欠点,-,,
126,5,380.9,1430.0,11.0,スジ欠点,-,,
127,3,370.2,1430.5,10.1,スジ欠点,-,,
128,1,380.9,1431.2, 3.5,スジ欠点,-,,
129,4,348.9,1431.3, 4.0,スジ欠点,-,,
130,5,799.1,1431.9, 8.8,スジ欠点,-,,
131,5,391.6,1432.3,11.4,スジ欠点,-,,
132,5,391.6,1432.8,26.0,スジ欠点,-,,
133,5,380.9,1433.1, 7.9,スジ欠点,-,,
134,5,380.9,1433.7,37.0,スジ欠点,-,,
135,5,380.9,1434.1,46.6,スジ欠点,-,,
136,5,370.2,1434.5, 8.4,スジ欠点,-,,
137,5,777.8,1435.0, 3.5,スジ欠点,-,,
138,5,767.1,1435.7,13.6,スジ欠点,-,,
139,4,380.9,1436.0, 9.2,スジ欠点,-,,
140,5,380.9,1436.4,17.6,スジ欠点,-,,
141,4,615.5,1436.9, 8.8,スジ欠点,-,,
142,3,615.5,1437.4,11.4,スジ欠点,-,,
143,4,626.2,1437.9,11.0,スジ欠点,-,,
144,3,799.1,1438.3, 3.5,スジ欠点,-,,
145,4,809.8,1438.7,12.3,スジ欠点,-,,
146,5,391.6,1439.2,47.5,スジ欠点,-,,
147,5,799.1,1439.6,29.5,スジ欠点,-,,
148,5,391.6,1440.0,39.6,スジ欠点,-,,
149,5,380.9,1440.6, 4.0,スジ欠点,-,,
150,2,391.6,1441.5, 4.0,スジ欠点,-,,
151,4,799.1,1442.0, 8.4,スジ欠点,-,,
152,3,391.6,1442.4,20.2,スジ欠点,-,,
153,5,799.1,1442.9, 4.0,スジ欠点,-,,
154,3,626.2,1443.4, 7.9,スジ欠点,-,,
